Location;Bâtiment Maupertuis;Bâtiment Bibliothèque Universitaire;IUP Pelvoux;Bâtiment IUT Romero;IUT Rostand;Bâtiment IBGBI;Bâtiment Premiers Cycles;Bâtiment Facteur Cheval;Bâtiment Ile-de-France;IUT Brétigny
2021-10-16;6116.416667;1333.083333;762.25;899.166667;112.583333;1343.083333;1613.75;651.166667;1887.083333;607.166667
2021-03-31;5920.083333;2214.833333;1367.333333;1172.416667;106.333333;1489.0;2261.416667;756.333333;2128.833333;639.666667
2021-10-20;6997.916667;1700.833333;1653.916667;1487.5;120.166667;1798.666667;2959.333333;876.5;2604.0;1135.083333
2021-04-02;5756.666667;1966.666667;1302.75;1196.25;102.75;1467.666667;2121.0;748.0;2116.833333;634.666667
2021-10-21;6927.583333;1668.0;1555.166667;1484.416667;115.416667;1742.333333;2956.083333;990.083333;2507.166667;1117.5
2021-04-03;5352.333333;1652.5;732.916667;883.166667;100.083333;1243.083333;1531.166667;530.0;1684.25;463.916667
2021-10-22;7155.583333;1749.75;1456.75;1452.5;113.416667;1732.083333;2907.083333;973.25;2509.0;1073.333333
2021-04-08;6917.25;1972.166667;1174.75;1162.166667;99.5;1427.333333;2396.416667;824.5;2281.5;671.333333
2021-10-23;6561.666667;1347.333333;678.0;898.75;120.75;1235.666667;1621.333333;627.333333;1899.166667;608.833333
2021-04-12;7117.833333;2052.916667;1286.333333;1302.916667;99.416667;1431.833333;2227.666667;867.5;2133.75;750.666667
2021-10-24;6551.75;1011.416667;678.333333;917.583333;113.75;1226.833333;1660.25;629.916667;1856.75;605.0
2021-04-23;5502.5;1788.416667;824.0;1072.416667;103.25;1236.0;1456.916667;698.25;2001.75;817.333333
2021-10-25;7525.25;1807.583333;1550.583333;1382.916667;126.416667;1680.0;2951.75;988.416667;2634.916667;1192.333333
2021-04-25;4877.916667;1101.583333;678.0;855.0;103.083333;1136.083333;1309.916667;475.75;1590.25;644.833333
2021-10-28;6790.416667;1733.833333;1335.166667;1279.083333;119.166667;1610.833333;2792.583333;1.916667;2375.833333;1098.25
2021-04-28;4710.75;1803.083333;837.083333;1091.0;101.583333;1228.75;1693.333333;730.0;1975.666667;834.583333
2021-10-29;6610.0;1684.5;1445.25;1278.5;117.583333;1682.5;2837.833333;952.916667;2357.333333;1077.916667
2021-04-30;5798.083333;1821.666667;815.083333;1045.166667;101.666667;1355.75;1739.833333;722.583333;2074.833333;711.0
2021-11-02;6620.5;1736.25;997.666667;1229.0;119.666667;1467.5;2401.25;851.25;2308.833333;826.5
2021-05-07;6690.416667;1870.833333;1090.916667;1257.833333;100.666667;1540.416667;2507.5;973.166667;2513.75;780.833333
2021-11-07;6112.0;1042.416667;613.166667;1015.416667;119.833333;1190.25;1890.5;651.083333;1842.416667;575.833333
2021-05-09;5279.166667;1117.916667;665.833333;901.416667;104.083333;1126.583333;1514.833333;441.0;1870.75;573.25
2021-11-08;7452.083333;1772.083333;1453.583333;1470.416667;116.916667;1643.666667;3193.416667;966.25;2598.333333;1161.5
2021-05-10;6122.333333;1815.666667;1186.666667;1229.833333;103.5;1440.666667;2469.0;734.0;2355.583333;837.916667
2021-11-13;6372.333333;1396.0;702.833333;1271.416667;119.916667;1222.416667;1877.416667;666.5;1890.416667;547.0
2021-05-11;6367.25;1837.0;1249.416667;1308.25;101.833333;1409.166667;2468.583333;866.75;2355.333333;849.583333
2021-11-14;6259.25;1011.916667;695.083333;1267.333333;128.916667;1217.0;1855.083333;640.333333;1872.083333;546.25
2021-05-12;6160.0;1843.666667;1222.416667;1232.0;102.416667;1353.333333;2440.25;784.166667;2204.666667;827.083333
2021-11-18;8357.166667;1664.0;1605.833333;1747.166667;123.25;1637.666667;3318.0;989.583333;2686.75;1068.75
2021-05-16;5296.666667;1146.5;705.25;924.75;99.833333;1108.083333;1557.25;557.75;1692.666667;549.166667
2021-11-24;7050.186851;1038.311419;719.750865;1062.062284;185.937716;1236.373702;1962.685121;558.311419;2028.124567;504.0
2021-05-17;6480.416667;1835.416667;1397.166667;1236.833333;101.75;1447.333333;2513.666667;860.666667;2401.25;910.916667
2021-11-30;8645.75;2012.416667;1697.5;1872.583333;132.0;1768.916667;3521.833333;1095.916667;2867.25;1132.416667
2021-05-18;6510.916667;1894.5;2.75;1231.25;100.666667;1445.75;2458.75;893.916667;2382.333333;853.083333
2021-12-01;8383.166667;1875.166667;1533.833333;1804.583333;129.083333;1675.75;3381.833333;924.583333;2651.25;1116.5
2021-05-19;6507.916667;1871.415517;1458.751149;1262.332759;100.916667;1436.328736;2598.083333;862.833333;2400.831609;850.5
2021-12-02;8350.916667;1967.416667;1469.416667;1875.083333;132.0;1824.25;3489.416667;1018.75;2732.166667;1133.75
2021-05-20;6423.916667;1103.834483;744.165517;851.917241;96.0;1103.337931;2471.916667;868.333333;1763.751724;859.083333
2021-12-12;6740.416667;1183.416667;744.833333;1102.25;129.25;1218.333333;2008.583333;588.25;1980.333333;572.25
2021-05-21;6174.166667;1780.333333;1332.916667;1201.666667;103.416667;1423.583333;2413.833333;904.666667;2194.0;871.833333
2021-12-13;8306.25;1882.666667;1857.083333;1655.416667;126.416667;1682.083333;3260.583333;1032.25;2752.333333;1237.5
2021-05-22;5350.083333;1493.666667;712.833333;861.833333;100.75;1193.916667;1543.916667;604.583333;1750.416667;565.166667
2021-12-16;8416.0;1967.25;1735.916667;1577.25;133.166667;1726.666667;3144.666667;1033.833333;2671.666667;1128.666667
2021-05-24;5594.666667;1170.0;745.5;904.666667;101.833333;1279.75;1873.916667;686.0;1739.333333;712.083333
2021-12-17;8211.166667;1927.166667;1427.333333;1488.25;143.75;1701.916667;2921.5;1049.083333;2472.666667;1178.5
2021-05-31;5496.166667;1699.416667;1177.333333;1098.083333;108.083333;1470.583333;2080.333333;845.25;2009.083333;928.916667
2021-12-18;6771.416667;1075.166667;658.083333;1085.25;136.833333;1334.333333;1832.416667;642.416667;1821.666667;605.333333
2021-06-01;5479.25;1654.416667;1121.75;1032.25;107.333333;1453.0;2035.333333;803.5;1990.75;935.75
2021-12-26;6361.916667;988.25;712.75;960.333333;145.416667;1219.0;1734.25;608.416667;1689.833333;525.5
2021-06-06;4845.25;1001.5;603.166667;726.25;97.416667;1127.5;1296.25;500.083333;1631.333333;516.25
2021-12-28;6508.75;981.083333;792.916667;1016.583333;139.0;1386.916667;2024.833333;729.5;1791.75;618.416667
2021-06-09;5517.083333;1628.5;1024.25;1061.5;100.916667;1435.416667;1970.166667;721.583333;2006.25;816.333333
2021-12-30;6369.333333;1099.25;754.5;1044.833333;129.083333;1478.666667;2017.666667;709.25;1793.083333;632.666667
2021-06-10;5650.416667;1602.583333;1068.583333;1056.666667;102.333333;1456.166667;2055.666667;721.166667;2094.5;816.416667
2021-12-31;6347.583333;1138.666667;720.666667;1030.333333;135.916667;1445.75;1996.25;711.333333;1759.916667;597.333333
2021-06-21;5549.166667;3.333333;1117.833333;995.166667;100.0;4.5;2314.916667;680.083333;1995.916667;1.75
2021-06-22;5484.083333;1674.666667;1119.083333;1015.916667;98.083333;1670.916667;2365.416667;685.166667;2162.166667;843.25
2021-06-27;4845.416667;994.583333;665.916667;624.416667;99.25;1231.833333;1535.083333;463.75;1644.25;465.75
2021-06-29;5388.416667;1652.583333;1037.0;767.333333;100.666667;1649.166667;2055.833333;747.666667;2109.0;663.833333
2021-06-30;5408.916667;1631.0;1028.666667;769.5;100.5;1598.25;2099.25;731.25;2160.5;713.0
2021-07-02;5479.083333;1541.583333;921.5;705.166667;102.5;1576.25;1794.75;675.5;1977.083333;640.25
2021-07-04;4848.25;1005.583333;661.916667;495.583333;100.916667;1222.666667;1323.0;465.583333;1762.083333;428.75
2021-07-06;5454.833333;1574.416667;1001.416667;733.0;99.583333;1585.416667;1904.166667;710.166667;2058.166667;702.916667
2021-07-09;5355.666667;1573.666667;965.5;645.083333;102.666667;1576.583333;1774.583333;665.166667;1988.083333;652.833333
2021-07-11;4837.916667;1000.416667;639.083333;502.166667;100.666667;1221.916667;1274.583333;506.333333;1714.666667;444.666667
2021-07-12;5408.0;1459.083333;1011.416667;717.0;99.333333;1541.0;1699.0;705.583333;2073.083333;679.25
2021-07-13;5426.083333;1162.666667;1001.083333;720.083333;98.916667;1551.583333;1710.583333;706.5;2114.916667;657.5
2021-07-19;5730.166667;775.0;873.583333;670.416667;104.833333;1509.666667;1678.75;637.0;1942.416667;516.416667
2021-07-22;5769.333333;704.833333;789.666667;594.166667;104.166667;1514.5;1545.583333;655.0;1962.666667;356.333333
2021-07-25;4870.333333;582.25;598.666667;410.916667;104.333333;1180.5;1199.583333;489.333333;1696.333333;315.083333
2021-07-26;4898.0;585.0;699.833333;480.0;103.75;1357.75;1488.333333;593.583333;1722.333333;333.583333
2021-08-07;4122.083333;560.25;513.083333;415.0;98.166667;1234.833333;1335.333333;526.416667;1768.25;314.833333
