Titulaire ou contractuel;Catégorie;Effet démographique au sein des corps dont sur primes;sur-rémunération temps partiel (80% ou 90%);temps ou aux cycles de travail;géographie et aux mobilités non forcées;résultats / performance / engagement professionnel;rémunérations accessoires;fonctions / sujétions indexées sur le traitement;fonctions / sujétions non indexées sur le traitement;restructurations ou mobilités forcées;autres primes et écarts résiduels sur traitement;effet/(F-H par EQTP) - effet temps partiel;effet/(F-H par EQTP) - effet ségrégation des corps;effet/(F-H par EQTP) - effet démographique au sein des corps;effet/(F-H par EQTP) - effet démographique au sein des corps dont sur primes;effet/(F-H par EQTP) - effet primes à corps-Grade-échelon identique;effet/(F-H par EQTP) - sur-rémunération temps partiel (80% ou 90%);effet/(F-H par EQTP) - temps ou aux cycles de travail;effet/(F-H par EQTP) - géographie et aux mobilités non forcées;effet/(F-H par EQTP) - résultats / performance / engagement professionnel;effet/(F-H par EQTP) - rémunérations accessoires;effet/(F-H par EQTP) - fonctions / sujétions indexées sur le traitement;effet/(F-H par EQTP) - fonctions / sujétions non indexées sur le traitement;effet/(F-H par EQTP) - restructurations ou mobilités forcées;effet/(F-H par EQTP) - autres primes et écarts résiduels sur traitement;Rémunération brute payée(1) femmes;Rémunération brute payée(1) hommes;écart;ratio écart (% (F-H)/H);Rémunération brute EQTP (1) femmes;Rémunération brute EQTP (1) hommes;écart;effectifs (ETPT) femmes;effectifs (ETPT) hommes;validité du groupe;ratio écart (% (F-H)/H) en EQTP (2);Effet temps partiel;effet ségrégation des corps;effet démographique au sein des corps;effet primes à corps-Grade-échelon identique;ratio écart (% (F-H)/H) en EQTP corrigé des effets ségrégation des corps et démographie au sein des corps ;écart en EQTP en valeur absolu;Score initiale sur 40
Fonctionnaire;Ensemble;3.6616905548843155;5.862288048397651;-32.07074909620853;0.04078973942016367;3.42423407720188;0.9636798303671208;0;-0.7196200724196248;0.0;21.78943312564055;644.2092065697678;509.42832579270487;-421.6160428050827;-62.86076989082824;12.187717012377894;-100.63874445985772;550.5631753819633;-0.7002433398358976;-58.78432028949;-16.543630641954618;0.0;12.35382157589784;0.0;-374.06234121434494;3735;3778;43;-0.011381683430386447;;;;;;;-0.002;-38.0;-30.0;25.0;-1.0;-0.0003333333333333333;0.03333333333333333;40.0
Contractuels;Ensemble;-260.0719509583156;-2.3090428057115253;278.82434797687745;2.7209524965251766;3.7466791669153756;0.6051453347667033;0;-67.44508043861121;0.0;34.3713892166214;-552.7602952692424;-87.99557297877844;1166.3329092926992;1015.6626083966726;-978.3373363139207;9.017536994308278;-1088.8966053708994;-10.626173640644335;-14.631958277210247;-2.363282495107439;0.0;263.3942109842622;0.0;-134.23106450863017;;;;;;;;;;;-0.012064918263517872;;;;;;1.2064918263517872;38.0
Contractuels;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3835.3883259254294;3906.677185523117;71.2888595976874;41.0;25.0;1.0;-0.0182479524701608;;;;;;;
Contractuels;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3915.7856701030923;4087.7957142857144;172.0100441826221;16.0;3.0;1.0;-0.04207892375382033;;;;;;;
Contractuels;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4015.884112554112;3915.7818944844116;-100.10221806970048;19.0;7.0;1.0;0.025563787965489044;;;;;;;
