Date;IDF;Bibliothèque Universitaire;IBGBI;Maupertuis;Premiers Cycles;Facteur Cheval
2017-01-01;1212990.0;398580.0;361850.0;1122700.0;1184800.0;1205500.0
2020-01-01;1059240.0;359890.0;289180.0;793900.0;805300.0;1020000.0
2023-01-01;726859.193548;222544.419355;380919.784946;807036.451613;758556.774194;753710.430108
2016-01-01;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01;1018320.0;421310.0;327440.0;979600.0;1064900.0;1242100.0
2021-01-01;1012120.0;428290.0;357440.0;944100.0;1045700.0;1076300.0
2019-01-01;1252070.0;615170.0;362990.0;1192900.0;1015000.0;1544400.0
2022-01-01;826210.0;304430.0;344400.0;970600.0;802500.0;756600.0
2024-01-01;89195.806452;45152.580645;53843.548387;140293.548387;120803.225806;116512.903226
