Date;Bâtiment Maupertuis;Bâtiment Bibliothèque Universitaire;IUP Pelvoux;Bâtiment IUT Romero;IUT Rostand;Bâtiment IBGBI;Bâtiment Premiers Cycles;Bâtiment Facteur Cheval;Bâtiment Ile-de-France;IUT Brétigny
2023-06-05;4695.791667;1724.583333;1190.75;1017.166667;69.791667;1875.75;2082.291667;468.666667;1775.541667;708.625
2023-10-11;3449.708333;1876.333333;1282.416667;1102.125;80.208333;1847.333333;2557.791667;506.333333;1807.041667;814.5
2023-06-10;4169.083333;1264.041667;877.833333;687.708333;71.0;1621.958333;1423.75;332.625;1615.25;494.083333
2023-10-18;3918.666667;1845.833333;1568.333333;1270.958333;93.666667;2066.791667;2853.958333;622.041667;1928.666667;1003.5
2023-06-13;5099.708333;1810.208333;1249.583333;952.583333;70.125;2000.125;2071.166667;463.0;1826.416667;743.125
2023-10-20;3646.0;1823.541667;1489.458333;1115.708333;91.208333;2043.208333;2683.208333;614.541667;1802.5;813.291667
2023-06-19;4950.833333;2058.791667;1258.791667;1045.791667;72.958333;1979.416667;2497.083333;405.125;1779.375;657.375
2023-10-21;3179.916667;1480.583333;828.875;717.291667;115.0;1452.375;1495.458333;451.75;1574.458333;460.625
2023-06-21;5041.708333;2614.541667;1260.083333;978.166667;70.291667;2004.916667;2455.291667;385.166667;1784.625;740.166667
2023-10-23;4037.333333;1901.416667;1760.083333;1169.583333;125.291667;2166.041667;2939.541667;763.041667;1864.958333;863.125
2023-06-24;4193.0;1716.75;886.125;591.208333;77.833333;1576.416667;1370.125;319.958333;1126.875;451.291667
2023-10-25;4075.75;1856.5;1606.291667;1092.125;121.541667;2075.0;2966.541667;653.708333;1784.791667;881.0
2023-06-26;4875.916667;1550.583333;1228.791667;834.166667;70.666667;1849.375;2557.541667;415.708333;1756.875;694.916667
2023-10-26;4109.041667;1934.708333;1494.875;1105.333333;131.875;2099.0;2927.5;711.916667;1798.541667;831.5
2023-06-27;4810.625;1855.083333;1199.083333;776.125;66.583333;1969.458333;2469.333333;410.5;1836.25;686.583333
2023-10-27;3955.75;1875.708333;1408.125;1041.291667;123.5;2056.25;2805.291667;685.75;1733.125;896.791667
2023-06-30;4534.291667;1810.166667;1140.083333;749.333333;71.458333;1917.708333;2245.666667;483.541667;1786.333333;623.666667
2023-11-06;4468.958333;2000.583333;1633.041667;1317.083333;157.166667;1944.583333;3193.291667;699.541667;1827.125;854.083333
2023-07-02;3651.125;983.708333;851.583333;576.541667;70.625;1293.625;1321.833333;361.5;1629.666667;411.875
2023-11-08;4536.5;1853.208333;1661.5;1338.166667;112.958333;1988.666667;2976.875;736.875;1906.208333;888.625
2023-07-03;4387.833333;1663.583333;1103.541667;709.583333;67.416667;1845.625;2156.916667;392.875;1796.833333;581.583333
2023-11-13;4573.166667;1844.75;1849.666667;1333.208333;142.416667;1869.875;2940.958333;808.958333;1845.375;943.041667
2023-07-12;4566.583333;2220.25;1056.666667;709.5;72.041667;1629.125;1855.583333;400.791667;1824.708333;486.291667
2023-11-17;4609.208333;1728.208333;1588.25;1295.625;124.166667;1978.458333;2959.583333;634.833333;1811.125;887.333333
2023-07-13;4280.833333;1962.916667;1056.416667;677.875;68.166667;1716.125;1833.333333;425.0;1796.458333;468.5
2023-11-26;3931.208333;637.916667;773.416667;1026.541667;80.5;1568.0;1985.0;469.125;1683.083333;466.875
2023-07-16;3508.708333;1295.458333;825.875;546.166667;70.25;1360.75;1317.666667;333.583333;1607.333333;369.375
2023-11-30;5098.958333;1772.25;1564.916667;1471.833333;137.416667;2237.333333;2912.416667;675.0;1945.333333;983.5
2023-07-21;3835.208333;1498.25;673.375;640.0;67.708333;1669.541667;1279.666667;319.75;1652.583333;379.208333
2023-12-02;4327.583333;1713.166667;812.625;1068.416667;98.833333;1699.166667;1946.333333;480.833333;1667.25;485.375
2023-07-22;3566.375;1366.625;456.708333;567.541667;74.5;1415.875;1152.041667;295.791667;1486.083333;327.041667
2023-12-06;5311.5;2067.708333;1471.458333;1467.458333;128.375;2242.25;3372.708333;735.041667;1908.458333;926.375
2023-07-24;3750.791667;1353.25;615.5;561.791667;70.041667;1598.333333;1259.875;355.875;1596.166667;366.0
2023-12-12;5040.583333;1930.25;1437.666667;1394.291667;136.375;2021.375;3202.125;783.666667;1925.625;993.5
2023-07-26;3751.583333;1260.541667;528.583333;575.0;69.875;1609.125;1232.041667;320.708333;1564.916667;356.875
2023-12-16;4632.375;1507.708333;746.625;1061.166667;93.75;1712.125;1823.625;488.041667;1604.875;492.916667
2023-07-29;3530.708333;932.5;440.75;452.708333;70.958333;1411.458333;1204.916667;287.916667;1443.125;320.875
2023-12-18;5844.541667;2146.958333;1469.166667;1531.875;124.375;2359.0;3264.958333;802.458333;1963.791667;998.666667
2023-07-30;3366.041667;939.625;440.416667;441.916667;75.125;1315.291667;1194.0;282.25;1427.583333;323.25
2023-12-23;3815.625;1010.041667;657.666667;743.666667;76.375;1369.5;1730.416667;456.291667;1609.75;423.291667
2023-07-31;3554.291667;929.916667;450.666667;470.125;70.666667;1526.625;1200.333333;291.166667;1350.666667;351.416667
2024-01-02;3953.833333;1083.041667;696.291667;781.375;153.708333;1519.125;1748.458333;459.208333;1622.208333;519.666667
2023-08-01;3594.291667;927.791667;461.375;442.666667;69.958333;1521.041667;1195.666667;290.833333;1498.833333;351.5
