Annee universitaire;IPrincipales;ITotales avec doubles;Dont boursiers;Dont cursus L;Dont cursus M;Dont cursus D;Dont neo-bacheliers;Dont Oui-Si;Dont neo-entrants;Dont Paris Saclay;Dont Ecole Paris Saclay;Dont UEVE;Dont IUT;Dont UFR SFA;Dont UFR ST;Dont UFR SHS;Dont UFR LAM;Dont UFR DSP
2015-2016;10721;12340;3483;8944;3092;304;2545;0;5991;1666;0;10674;2361;2394;1050;2688;918;1525
2017-2018;11482;13566;3895;10099;3215;252;2903;0;6707;1760;0;11806;2211;2894;1142;2756;913;1601
2020-2021;12051;12405;3154;9171;2996;237;2505;254;5543;2346;1551;8503;1933;2939;1183;2742;955;1882
2016-2017;10849;12766;3714;9442;3050;274;2583;0;6018;1649;0;11117;2082;2711;1038;2675;815;1473
2019-2020;11419;11910;3028;8687;2982;241;2379;451;5376;1638;0;10272;1908;2911;1109;2668;958;1796
2018-2019;11445;13493;3852;10130;3109;254;3013;583;6368;1705;0;11788;2099;2976;1118;2615;893;1748
2021-2022;11514;11750;3131;8658;2867;224;2187;342;5257;2446;1395;7905;1970;2965;1019;2553;706;1919
2022-2023;7969;7995;2370;6172;1823;0;2049;245;3525;1678;1216;5100;937;2076;646;1943;651;1444
